time	V(va)
6.541812145811714e-002	-8.290934e-001
6.576340605633144e-002	-9.045413e-001
6.610869065454574e-002	-9.735122e-001
6.645397525276003e-002	-1.036006e+000
6.679925985097433e-002	-1.092023e+000
6.700852324383148e-002	-1.121308e+000
6.721778663668863e-002	-1.147338e+000
6.742705002954579e-002	-1.170113e+000
6.763631342240294e-002	-1.189635e+000
6.784557681526009e-002	-1.205902e+000
6.805484020811724e-002	-1.218915e+000
6.826410360097439e-002	-1.228674e+000
6.833734578847439e-002	-1.231245e+000
6.841058797597439e-002	-1.233398e+000
6.848383016347440e-002	-1.235132e+000
6.855707235097440e-002	-1.236448e+000
6.863031453847440e-002	-1.237345e+000
6.870355672597441e-002	-1.237823e+000
6.877679891347441e-002	-1.237883e+000
6.886050427061727e-002	-1.237434e+000
6.894420962776013e-002	-1.236440e+000
6.902791498490299e-002	-1.234900e+000
6.911162034204585e-002	-1.232814e+000
6.919532569918871e-002	-1.230182e+000
6.927903105633157e-002	-1.227005e+000
6.936273641347443e-002	-1.223281e+000
6.959292614561730e-002	-1.210070e+000
6.982311587776016e-002	-1.192990e+000
7.005330560990303e-002	-1.172043e+000
7.028349534204589e-002	-1.147228e+000
7.051368507418876e-002	-1.118545e+000
7.074387480633163e-002	-1.085994e+000
7.097406453847449e-002	-1.049576e+000
7.114147525276021e-002	-1.020892e+000
7.130888596704593e-002	-9.905451e-001
7.147629668133165e-002	-9.585338e-001
7.164370739561737e-002	-9.248585e-001
7.181111810990309e-002	-8.895192e-001
7.197852882418881e-002	-8.525158e-001
7.214593953847454e-002	-8.138485e-001
7.221918172597454e-002	-7.965412e-001
7.248076096704598e-002	-7.317986e-001
7.274234020811742e-002	-6.646503e-001
7.300391944918885e-002	-5.950962e-001
7.326549869026029e-002	-5.231365e-001
7.352707793133173e-002	-4.487711e-001
7.378865717240317e-002	-3.719999e-001
7.405023641347461e-002	-2.928231e-001
7.416533127954604e-002	-2.578391e-001
7.428042614561747e-002	-2.227133e-001
7.439552101168891e-002	-1.874455e-001
7.451061587776034e-002	-1.520359e-001
7.462571074383177e-002	-1.164843e-001
7.474080560990321e-002	-8.079085e-002
7.485590047597464e-002	-4.495547e-002
7.492914266347464e-002	-2.217696e-002
7.500000000000000e-002	-1.328520e-004
