time	V(a1)	V(vout)	V(vouts2)
1.118467702007877e+002	1.127431e-002	-4.886760e-001	4.962937e+000
1.122794959679604e+002	1.125868e-002	-4.682527e-001	4.963460e+000
1.127122217351331e+002	1.124291e-002	-4.478567e-001	4.963576e+000
1.131449475023059e+002	1.122699e-002	-4.274880e-001	4.963283e+000
1.135776732694786e+002	1.121094e-002	-4.071465e-001	4.962582e+000
1.140103990366513e+002	1.119474e-002	-3.868323e-001	4.961474e+000
1.144431248038240e+002	1.117840e-002	-3.665453e-001	4.959957e+000
1.148758505709967e+002	1.116192e-002	-3.462856e-001	4.958033e+000
1.152780545397138e+002	1.114648e-002	-3.274844e-001	4.955876e+000
1.156802585084309e+002	1.113093e-002	-3.087147e-001	4.953370e+000
1.160824624771480e+002	1.111526e-002	-2.899767e-001	4.950514e+000
1.164846664458652e+002	1.109948e-002	-2.712702e-001	4.947310e+000
1.168868704145823e+002	1.108359e-002	-2.525952e-001	4.943756e+000
1.172890743832994e+002	1.106758e-002	-2.339518e-001	4.939852e+000
1.176912783520165e+002	1.105146e-002	-2.153400e-001	4.935600e+000
1.177998010227593e+002	1.104709e-002	-2.103256e-001	4.934387e+000
1.181959780042610e+002	1.103108e-002	-1.920370e-001	4.929764e+000
1.185921549857627e+002	1.101496e-002	-1.737873e-001	4.924800e+000
1.189883319672644e+002	1.099874e-002	-1.555765e-001	4.919496e+000
1.193845089487661e+002	1.098241e-002	-1.374045e-001	4.913852e+000
1.197806859302678e+002	1.096599e-002	-1.192713e-001	4.907867e+000
1.201768629117695e+002	1.094946e-002	-1.011769e-001	4.901543e+000
1.205730398932712e+002	1.093283e-002	-8.312145e-002	4.894877e+000
1.210014422309151e+002	1.091473e-002	-6.364176e-002	4.887313e+000
1.214298445685590e+002	1.089653e-002	-4.421626e-002	4.879356e+000
1.218582469062029e+002	1.087821e-002	-2.484495e-002	4.871006e+000
1.222866492438468e+002	1.085979e-002	-5.527822e-003	4.862264e+000
1.227150515814907e+002	1.084125e-002	1.373511e-002	4.853128e+000
1.231434539191346e+002	1.082261e-002	3.294386e-002	4.843600e+000
1.235718562567785e+002	1.080385e-002	5.209841e-002	4.833679e+000
1.239723303960387e+002	1.078623e-002	6.995022e-002	4.824050e+000
1.243728045352990e+002	1.076851e-002	8.774727e-002	4.814086e+000
1.247732786745593e+002	1.075071e-002	1.054895e-001	4.803786e+000
1.251737528138196e+002	1.073282e-002	1.231770e-001	4.793150e+000
1.255742269530798e+002	1.071485e-002	1.408098e-001	4.782178e+000
1.259747010923401e+002	1.069679e-002	1.583878e-001	4.770870e+000
1.263751752316004e+002	1.067864e-002	1.759110e-001	4.759227e+000
1.267674117132369e+002	1.066078e-002	1.930170e-001	4.747499e+000
1.271596481948735e+002	1.064285e-002	2.100629e-001	4.735451e+000
1.275518846765100e+002	1.062484e-002	2.270487e-001	4.723084e+000
1.279441211581465e+002	1.060676e-002	2.439745e-001	4.710397e+000
1.283363576397831e+002	1.058860e-002	2.608402e-001	4.697390e+000
1.287285941214196e+002	1.057037e-002	2.776458e-001	4.684063e+000
1.291208306030561e+002	1.055206e-002	2.943913e-001	4.670417e+000
1.295419793076192e+002	1.053233e-002	3.123054e-001	4.655434e+000
1.299631280121823e+002	1.051251e-002	3.301423e-001	4.640090e+000
1.303842767167454e+002	1.049263e-002	3.479020e-001	4.624387e+000
1.308054254213085e+002	1.047266e-002	3.655846e-001	4.608323e+000
1.312265741258716e+002	1.045262e-002	3.831901e-001	4.591898e+000
1.316477228304347e+002	1.043250e-002	4.007183e-001	4.575113e+000
1.320688715349978e+002	1.041231e-002	4.181695e-001	4.557968e+000
1.324799795557771e+002	1.039253e-002	4.351261e-001	4.540890e+000
1.328910875765565e+002	1.037268e-002	4.520021e-001	4.523479e+000
1.333021955973358e+002	1.035278e-002	4.687976e-001	4.505737e+000
1.337133036181152e+002	1.033281e-002	4.855126e-001	4.487663e+000
1.341244116388945e+002	1.031278e-002	5.021471e-001	4.469257e+000
1.345355196596739e+002	1.029269e-002	5.187010e-001	4.450519e+000
1.349466276804532e+002	1.027253e-002	5.351744e-001	4.431450e+000
1.353535846909711e+002	1.025252e-002	5.513981e-001	4.412249e+000
1.357605417014889e+002	1.023246e-002	5.675351e-001	4.392730e+000
1.361674987120067e+002	1.021236e-002	5.835854e-001	4.372894e+000
1.365744557225246e+002	1.019219e-002	5.995490e-001	4.352739e+000
1.369814127330424e+002	1.017198e-002	6.154260e-001	4.332266e+000
1.373883697435602e+002	1.015172e-002	6.312162e-001	4.311475e+000
1.377953267540781e+002	1.013141e-002	6.469197e-001	4.290367e+000
1.382164743181762e+002	1.011034e-002	6.630814e-001	4.268210e+000
1.386376218822744e+002	1.008922e-002	6.791429e-001	4.245726e+000
1.390587694463725e+002	1.006807e-002	6.951044e-001	4.222912e+000
